ADM_CD,ADM_NM,lat,lng,행정동코드,시도,시군구,행정동명,행정동명_전체,총인구수,0_4세,5_9세,10_12세,13_15세,16_18세,19_24세,25_34세,35_49세,50_64세,65세이상
33042590,성화·개신·죽림동,36.6138135911992,127.45101507485882,4311259000,충청북도,청주시 서원구,성화.개신.죽림동,충청북도 청주시 서원구 성화.개신.죽림동,44250.0,1120.0,1287.0,1186.0,1452.0,1476.0,3673.0,6452.0,8903.0,11209.0,7492.0
33043110,오송읍,36.625696158920206,127.32151640156108,4311325000,충청북도,청주시 흥덕구,오송읍,,,,,,,,,,,,
33043310,강내면,36.604102844104204,127.35720889666764,4311331000,충청북도,청주시 흥덕구,강내면,,,,,,,,,,,,
33043320,옥산면,36.6809028928588,127.35825058715376,4311332000,충청북도,청주시 흥덕구,옥산면,,,,,,,,,,,,
33043510,운천·신봉동,36.654690407069886,127.4695087879759,4311370000,충청북도,청주시 흥덕구,운천.신봉동,충청북도 청주시 흥덕구 운천.신봉동,13497.0,161.0,275.0,243.0,328.0,333.0,696.0,1641.0,2267.0,4012.0,3541.0
33043520,복대1동,36.63728818962728,127.43724464095024,4311374100,충청북도,청주시 흥덕구,복대1동,충청북도 청주시 흥덕구 복대1동,50241.0,1832.0,2679.0,1963.0,1990.0,1888.0,2966.0,7382.0,13500.0,11131.0,4910.0
33043530,복대2동,36.62900709767089,127.44511652453328,4311374200,충청북도,청주시 흥덕구,복대2동,충청북도 청주시 흥덕구 복대2동,15080.0,176.0,196.0,170.0,247.0,314.0,1643.0,2838.0,2351.0,3683.0,3462.0
33043540,가경동,36.621218012815376,127.43477120856517,4311374700,충청북도,청주시 흥덕구,가경동,충청북도 청주시 흥덕구 가경동,53078.0,1455.0,2261.0,1745.0,1964.0,1846.0,3388.0,6562.0,11563.0,14183.0,8111.0
33043550,봉명1동,36.63992031926018,127.46129528923316,4311375100,충청북도,청주시 흥덕구,봉명1동,충청북도 청주시 흥덕구 봉명1동,12787.0,545.0,342.0,186.0,211.0,228.0,634.0,3025.0,2882.0,2706.0,2028.0
33043560,봉명2·송정동,36.648685994853096,127.45016024097283,4311375600,충청북도,청주시 흥덕구,봉명2.송정동,충청북도 청주시 흥덕구 봉명2.송정동,22991.0,465.0,546.0,476.0,587.0,637.0,1268.0,4823.0,5094.0,5616.0,3479.0
33043570,강서1동,36.62618048818493,127.41385137359684,4311376000,충청북도,청주시 흥덕구,강서1동,충청북도 청주시 흥덕구 강서제1동,30282.0,826.0,1112.0,717.0,852.0,831.0,1839.0,5793.0,6681.0,6984.0,4647.0
33043580,강서2동,36.66477536582737,127.43356277309522,4311377000,충청북도,청주시 흥덕구,강서2동,충청북도 청주시 흥덕구 강서제2동,17724.0,1411.0,1436.0,807.0,596.0,386.0,629.0,3295.0,5578.0,2317.0,1269.0
33044110,내수읍,36.70018495196881,127.5552040150002,4311425000,충청북도,청주시 청원구,내수읍,,,,,,,,,,,,
33044120,오창읍,36.73175377674838,127.41016851714538,4311425300,충청북도,청주시 청원구,오창읍,,,,,,,,,,,,
